행정동코드,Top1 상권,Top1 상권 수,Top1 상권 비율,Top1 상권 Top1 업종,Top1 상권 Top1 업종 수,Top1 상권 Top2 업종,Top1 상권 Top2 업종 수,Top1 상권 Top3 업종,Top1 상권 Top3 업종 수,Top2 상권,Top2 상권 수,Top2 상권 비율,Top2 상권 Top1 업종,Top2 상권 Top1 업종 수,Top2 상권 Top2 업종,Top2 상권 Top2 업종 수,Top2 상권 Top3 업종,Top2 상권 Top3 업종 수,Top3 상권,Top3 상권 수,Top3 상권 비율,Top3 상권 Top1 업종,Top3 상권 Top1 업종 수,Top3 상권 Top2 업종,Top3 상권 Top2 업종 수,Top3 상권 Top3 업종,Top3 상권 Top3 업종 수,Top4 상권,Top4 상권 수,Top4 상권 비율,Top5 상권,Top5 상권 수,Top5 상권 비율
46710350,주거밀집,55,0.8333333333333334,한식/백반/한정식,12,민박/하숙,4,수퍼마켓,3,스포츠,9,0.13636363636363635,청과물소매,7,주방가구판매,1,학원-자동차운전,1,먹자골목,1,0.015151515151515152,수퍼마켓,1,,,,,편의시설,1,0.015151515151515152,,,
46710340,주거밀집,195,0.8297872340425532,한식/백반/한정식,28,식료품점,19,커피전문점/카페/다방,9,스포츠,23,0.09787234042553192,청과물소매,14,농기구판매,1,갈치/생선구이,1,먹자골목,10,0.0425531914893617,커피전문점/카페/다방,2,갈비/삼겹살,2,수퍼마켓,1,편의시설,6,0.02553191489361702,기타,1,0.00425531914893617
46810380,주거밀집,74,0.8131868131868132,한식/백반/한정식,14,커피전문점/카페/다방,9,여성미용실,7,스포츠,8,0.08791208791208792,청과물소매,5,지물판매,1,농기구수리,1,기타,4,0.04395604395604396,기타고기요리,4,,,,,편의시설,3,0.03296703296703297,먹자골목,2,0.02197802197802198
46150360,주거밀집,74,0.7956989247311828,한식/백반/한정식,26,민박/하숙,9,건강원,6,스포츠,14,0.15053763440860216,청과물소매,6,보리밥전문,5,가정용연료소매,2,편의시설,4,0.043010752688172046,시장/종합상가,4,,,,,먹자골목,1,0.010752688172043012,,,
46880370,주거밀집,41,0.640625,한식/백반/한정식,9,캠프/별장/펜션,5,민박/하숙,4,스포츠,21,0.328125,청과물소매,17,가정용연료소매,1,추어탕전문,1,먹자골목,1,0.015625,청과물소매,1,,,,,편의시설,1,0.015625,,,
46810310,주거밀집,82,0.6949152542372882,한식/백반/한정식,9,갈비/삼겹살,5,수퍼마켓,5,스포츠,22,0.1864406779661017,청과물소매,16,LPG판매,1,유리/페인트/철물건축자재,1,편의시설,5,0.0423728813559322,시장/종합상가,5,,,,,먹자골목,5,0.0423728813559322,기타,4,0.03389830508474576
46800340,주거밀집,73,0.6636363636363637,한식/백반/한정식,20,수퍼마켓,6,자동차정비/카센타,3,스포츠,25,0.22727272727272727,청과물소매,12,LPG판매,2,유리/페인트/철물건축자재,2,편의시설,6,0.05454545454545454,시장/종합상가,5,우체국/우편물취급소,1,,,먹자골목,3,0.02727272727272727,기타,3,0.02727272727272727
46170370,주거밀집,36,0.631578947368421,한식/백반/한정식,8,건강원,3,자동차정비/카센타,2,스포츠,17,0.2982456140350877,청과물소매,5,유리/페인트/철물건축자재,4,농기구판매,2,편의시설,2,0.03508771929824561,시장/종합상가,1,우체국/우편물취급소,1,,,먹자골목,2,0.03508771929824561,,,
46900340,주거밀집,115,0.756578947368421,한식/백반/한정식,25,수퍼마켓,8,횟집,6,스포츠,27,0.17763157894736842,청과물소매,12,수산물소매,9,농기구판매,2,먹자골목,6,0.039473684210526314,편의점,3,청과물소매,2,수퍼마켓,1,편의시설,4,0.02631578947368421,,,
46880380,주거밀집,41,0.6612903225806451,한식/백반/한정식,7,수퍼마켓,4,캠프/별장/펜션,3,스포츠,12,0.1935483870967742,청과물소매,9,렌트카,1,섬유/직물/주단,1,먹자골목,8,0.12903225806451613,커피전문점/카페/다방,2,수퍼마켓,1,돈가스전문점,1,기타,1,0.016129032258064516,,,
46790415,주거밀집,42,0.6774193548387096,한식/백반/한정식,8,건강원,5,남성미용실,3,스포츠,13,0.20967741935483872,청과물소매,6,유리/페인트/철물건축자재,4,농기구판매,1,편의시설,3,0.04838709677419355,시장/종합상가,2,의약품소매,1,,,먹자골목,2,0.03225806451612903,기타,2,0.03225806451612903
46820390,스포츠,78,0.6782608695652174,청과물소매,70,실내골프연습장,2,학원-자동차운전,2,주거밀집,32,0.2782608695652174,한식/백반/한정식,8,수퍼마켓,3,식료품점,3,편의시설,3,0.02608695652173913,시장/종합상가,3,,,,,기타,1,0.008695652173913044,먹자골목,1,0.008695652173913044
46170600,주거밀집,172,0.7136929460580913,한식/백반/한정식,25,여성미용실,14,수퍼마켓,7,먹자골목,34,0.14107883817427386,커피전문점/카페/다방,6,농기구판매,5,편의점,4,스포츠,31,0.12863070539419086,청과물소매,10,농기구판매,7,수산물소매,4,편의시설,4,0.016597510373443983,,,
46780370,주거밀집,104,0.6582278481012658,한식/백반/한정식,22,수퍼마켓,5,여성미용실,5,스포츠,38,0.24050632911392406,청과물소매,16,수산물소매,6,농기구수리,3,먹자골목,8,0.05063291139240506,편의점,2,청과물소매,1,일반가전제품,1,편의시설,6,0.0379746835443038,기타,2,0.012658227848101266
46720390,주거밀집,48,0.6233766233766234,한식/백반/한정식,9,커피전문점/카페/다방,5,고속도로휴게소,3,스포츠,15,0.19480519480519481,청과물소매,10,농기구판매,2,게이트볼장,1,먹자골목,13,0.16883116883116883,커피전문점/카페/다방,4,돈가스전문점,1,아이스크림판매,1,편의시설,1,0.012987012987012988,,,
46720360,주거밀집,25,0.7352941176470589,한식/백반/한정식,7,민박/하숙,4,캠프/별장/펜션,3,스포츠,7,0.20588235294117646,청과물소매,4,래프팅,1,굴요리전문,1,먹자골목,1,0.029411764705882353,수퍼마켓,1,,,,,기타,1,0.029411764705882353,,,
46730310,주거밀집,24,0.6153846153846154,한식/백반/한정식,7,식료품점,2,커피전문점/카페/다방,2,스포츠,12,0.3076923076923077,청과물소매,10,가정용연료소매,1,순두부전문,1,먹자골목,1,0.02564102564102564,청과물소매,1,,,,,기타,1,0.02564102564102564,편의시설,1,0.02564102564102564
46770440,주거밀집,36,0.782608695652174,민박/하숙,7,한식/백반/한정식,7,수퍼마켓,6,스포츠,7,0.15217391304347827,수산물소매,4,청과물소매,2,수상스키,1,먹자골목,2,0.043478260869565216,커피전문점/카페/다방,1,민박/하숙,1,,,편의시설,1,0.021739130434782608,,,
46910410,주거밀집,18,0.5142857142857142,한식/백반/한정식,4,횟집,2,음식점-일식,1,스포츠,9,0.2571428571428571,청과물소매,4,수산물소매,3,가정용연료소매,1,먹자골목,5,0.14285714285714285,수퍼마켓,3,청과물소매,1,호프/맥주,1,기타,2,0.05714285714285714,편의시설,1,0.02857142857142857
46780360,주거밀집,24,0.5581395348837209,한식/백반/한정식,8,전통찻집/인삼찻집,2,닭도리탕전문,2,스포츠,11,0.2558139534883721,청과물소매,10,기타경기후원업/경기단체,1,,,먹자골목,4,0.09302325581395349,수퍼마켓,1,캠프/별장/펜션,1,청과물소매,1,기타,2,0.046511627906976744,편의시설,2,0.046511627906976744
46800330,주거밀집,21,0.7,한식/백반/한정식,4,수퍼마켓,2,한정식전문,2,스포츠,5,0.16666666666666666,청과물소매,5,,,,,편의시설,2,0.06666666666666667,우체국/우편물취급소,1,시장/종합상가,1,,,기타,1,0.03333333333333333,먹자골목,1,0.03333333333333333
46790420,주거밀집,70,0.7777777777777778,한식/백반/한정식,11,커피전문점/카페/다방,6,건강식품판매,6,스포츠,15,0.16666666666666666,청과물소매,5,수산물소매,2,학원-기타,2,먹자골목,3,0.03333333333333333,수퍼마켓,1,편의점,1,컴퓨터/사무용기기종합,1,편의시설,1,0.011111111111111112,기타,1,0.011111111111111112
46170340,주거밀집,46,0.6133333333333333,한식/백반/한정식,8,여성미용실,5,육류소매,5,스포츠,21,0.28,청과물소매,14,유리/페인트/철물건축자재,2,건어물상,1,편의시설,4,0.05333333333333334,시장/종합상가,3,할인점,1,,,먹자골목,3,0.04,기타,1,0.013333333333333334
46130350,주거밀집,72,0.8888888888888888,민박/하숙,31,한식/백반/한정식,9,수퍼마켓,7,편의시설,3,0.037037037037037035,시장/종합상가,2,구판장/직판장,1,,,먹자골목,3,0.037037037037037035,수퍼마켓,3,,,,,스포츠,3,0.037037037037037035,,,
46780310,주거밀집,11,0.6470588235294118,한식/백반/한정식,2,민박/하숙,2,연극/음악/예술관련기타,1,먹자골목,3,0.17647058823529413,청과물소매,1,수퍼마켓,1,커피전문점/카페/다방,1,스포츠,3,0.17647058823529413,청과물소매,3,,,,,,,,,,
46770410,주거밀집,46,0.696969696969697,한식/백반/한정식,6,민박/하숙,6,수퍼마켓,4,스포츠,13,0.19696969696969696,청과물소매,10,수산물소매,2,유리/페인트/철물건축자재,1,편의시설,4,0.06060606060606061,시장/종합상가,3,구판장/직판장,1,,,먹자골목,3,0.045454545454545456,,,
46910420,주거밀집,63,0.7974683544303798,한식/백반/한정식,15,민박/하숙,6,횟집,5,먹자골목,7,0.08860759493670886,커피전문점/카페/다방,3,수퍼마켓,1,편의점,1,스포츠,6,0.0759493670886076,청과물소매,3,조명기구/전기용품,1,농자재판매,1,편의시설,3,0.0379746835443038,,,
46790400,주거밀집,38,0.6551724137931034,한식/백반/한정식,5,건강원,5,방앗간/정미소,3,스포츠,12,0.20689655172413793,청과물소매,10,농기구수리,1,실외궁도장,1,편의시설,5,0.08620689655172414,시장/종합상가,5,,,,,먹자골목,2,0.034482758620689655,기타,1,0.017241379310344827
46720340,주거밀집,14,0.5,수퍼마켓,2,한식/백반/한정식,2,갈비/삼겹살,1,스포츠,9,0.32142857142857145,청과물소매,7,농기구판매,1,농기구수리,1,먹자골목,4,0.14285714285714285,청소/소독,2,수퍼마켓,1,커피전문점/카페/다방,1,편의시설,1,0.03571428571428571,,,
