행정동명,행정동코드,Top1,number of Top1,Top2,number of Top2,Top3,number of Top3
화현면,4165041000,한식/백반/한정식,49,캠프/별장/펜션,9,청과물소매,9
포천동,4165051000,한식/백반/한정식,113,여성미용실,87,커피전문점/카페/다방,74
선단동,4165052000,한식/백반/한정식,85,부동산중개,41,편의점,40
가남읍,4167025000,한식/백반/한정식,135,커피전문점/카페/다방,45,편의점,31
점동면,4167031000,한식/백반/한정식,40,청과물소매,13,갈비/삼겹살,6
흥천면,4167032000,한식/백반/한정식,36,청과물소매,9,부동산중개,8
금사면,4167033000,한식/백반/한정식,45,커피전문점/카페/다방,18,수퍼마켓,10
세종대왕면,4167034500,한식/백반/한정식,42,부동산중개,18,청과물소매,16
대신면,4167035000,한식/백반/한정식,54,청과물소매,26,부동산중개,15
북내면,4167036000,한식/백반/한정식,41,청과물소매,11,주방가구판매,9
강천면,4167037000,한식/백반/한정식,46,커피전문점/카페/다방,9,청과물소매,7
산북면,4167038000,한식/백반/한정식,40,커피전문점/카페/다방,13,청과물소매,9
여흥동,4167051000,한식/백반/한정식,136,일반의류,107,커피전문점/카페/다방,79
중앙동,4167052000,한식/백반/한정식,104,여성미용실,56,커피전문점/카페/다방,48
오학동,4167053000,한식/백반/한정식,119,커피전문점/카페/다방,48,부동산중개,35
연천읍,4180025000,한식/백반/한정식,53,커피전문점/카페/다방,21,부동산중개,15
전곡읍,4180025300,한식/백반/한정식,108,여성미용실,62,커피전문점/카페/다방,55
군남면,4180031000,한식/백반/한정식,19,청과물소매,13,부동산중개,9
청산면,4180032000,한식/백반/한정식,37,편의점,13,청과물소매,12
백학면,4180033000,한식/백반/한정식,19,부동산중개,13,청과물소매,12
미산면,4180034000,한식/백반/한정식,13,부동산중개,9,캠프/별장/펜션,6
왕징면,4180035000,청과물소매,9,커피전문점/카페/다방,3,식료품점,2
신서면,4180036000,한식/백반/한정식,35,커피전문점/카페/다방,9,수퍼마켓,9
중면,4180037000,청과물소매,5,꽃집/꽃배달,2,캠프/별장/펜션,1
장남면,4180038000,한식/백반/한정식,5,커피전문점/카페/다방,4,매운탕전문,3
가평읍,4182025000,한식/백반/한정식,175,캠프/별장/펜션,107,커피전문점/카페/다방,84
설악면,4182031000,한식/백반/한정식,162,커피전문점/카페/다방,73,캠프/별장/펜션,52
청평면,4182032500,한식/백반/한정식,139,커피전문점/카페/다방,72,캠프/별장/펜션,65
상면,4182033000,캠프/별장/펜션,100,한식/백반/한정식,76,모텔/여관/여인숙,51
조종면,4182034500,한식/백반/한정식,68,캠프/별장/펜션,40,커피전문점/카페/다방,26
북면,4182035000,캠프/별장/펜션,129,민박/하숙,59,한식/백반/한정식,48
양평읍,4183025000,한식/백반/한정식,176,부동산중개,108,여성미용실,98
강상면,4183031000,한식/백반/한정식,46,부동산중개,28,커피전문점/카페/다방,13
강하면,4183032000,한식/백반/한정식,40,부동산중개,29,커피전문점/카페/다방,24
양서면,4183033000,한식/백반/한정식,107,커피전문점/카페/다방,46,부동산중개,41
옥천면,4183034000,한식/백반/한정식,57,부동산중개,43,커피전문점/카페/다방,39
서종면,4183035000,한식/백반/한정식,103,부동산중개,66,커피전문점/카페/다방,48
단월면,4183036000,캠프/별장/펜션,28,한식/백반/한정식,27,민박/하숙,12
청운면,4183037000,한식/백반/한정식,22,캠프/별장/펜션,13,커피전문점/카페/다방,11
양동면,4183038000,한식/백반/한정식,17,커피전문점/카페/다방,11,수퍼마켓,10
지평면,4183039500,한식/백반/한정식,28,청과물소매,15,커피전문점/카페/다방,13
용문면,4183040000,한식/백반/한정식,154,커피전문점/카페/다방,68,부동산중개,53
개군면,4183041000,한식/백반/한정식,27,커피전문점/카페/다방,15,부동산중개,9
신북읍,4211025000,한식/백반/한정식,43,커피전문점/카페/다방,28,닭갈비전문,23
동면,4211031000,한식/백반/한정식,70,커피전문점/카페/다방,59,여성미용실,31
동산면,4211032000,한식/백반/한정식,20,국수/만두/칼국수,6,커피전문점/카페/다방,4
신동면,4211033000,한식/백반/한정식,23,커피전문점/카페/다방,20,국수/만두/칼국수,8
남면,4211034000,한식/백반/한정식,13,청과물소매,7,민박/하숙,5
서면,4211035000,한식/백반/한정식,57,커피전문점/카페/다방,20,횟집,11
사북면,4211036000,한식/백반/한정식,26,민박/하숙,10,청과물소매,9
북산면,4211038000,한식/백반/한정식,12,청과물소매,9,캠프/별장/펜션,2
동내면,4211039000,한식/백반/한정식,78,커피전문점/카페/다방,51,여성미용실,51
남산면,4211040000,한식/백반/한정식,84,캠프/별장/펜션,82,민박/하숙,47
교동,4211052000,한식/백반/한정식,22,여성미용실,14,편의점,12
조운동,4211053000,한식/백반/한정식,63,여성미용실,44,일반의류,42
약사명동,4211054500,일반의류,46,여성미용실,45,한식/백반/한정식,43
근화동,4211057000,한식/백반/한정식,40,자동차정비/카센타,32,모텔/여관/여인숙,30
소양동,4211058000,한식/백반/한정식,62,커피전문점/카페/다방,41,모텔/여관/여인숙,26
후평1동,4211060000,한식/백반/한정식,61,여성미용실,50,자동차정비/카센타,42
후평2동,4211061000,여성미용실,47,부동산중개,32,한식/백반/한정식,27
후평3동,4211061100,여성미용실,61,한식/백반/한정식,48,커피전문점/카페/다방,33
효자1동,4211062000,한식/백반/한정식,15,호프/맥주,11,룸살롱/단란주점,9
효자2동,4211063000,한식/백반/한정식,53,여성미용실,51,커피전문점/카페/다방,28
효자3동,4211064000,한식/백반/한정식,51,커피전문점/카페/다방,49,여성미용실,49
석사동,4211065000,한식/백반/한정식,125,여성미용실,104,커피전문점/카페/다방,73
퇴계동,4211066000,한식/백반/한정식,147,여성미용실,139,부동산중개,85
강남동,4211067500,한식/백반/한정식,98,여성미용실,62,커피전문점/카페/다방,59
신사우동,4211070500,한식/백반/한정식,58,여성미용실,44,커피전문점/카페/다방,26
문막읍,4213025000,한식/백반/한정식,143,커피전문점/카페/다방,42,여성미용실,37
소초면,4213031000,한식/백반/한정식,114,민박/하숙,32,커피전문점/카페/다방,23
호저면,4213032000,일반가구소매,52,한식/백반/한정식,21,자동차정비/카센타,17
지정면,4213033000,한식/백반/한정식,157,커피전문점/카페/다방,69,부동산중개,48
부론면,4213035000,한식/백반/한정식,21,청과물소매,14,커피전문점/카페/다방,9
귀래면,4213036000,청과물소매,16,한식/백반/한정식,12,중국음식/중국집,6
흥업면,4213037000,한식/백반/한정식,72,커피전문점/카페/다방,27,편의점,19
판부면,4213038000,한식/백반/한정식,79,커피전문점/카페/다방,24,비만/피부관리,15
신림면,4213039000,한식/백반/한정식,53,캠프/별장/펜션,24,청과물소매,18
중앙동,4213051500,한식/백반/한정식,128,일반의류,102,커피전문점/카페/다방,47
원인동,4213052000,한식/백반/한정식,33,여성미용실,19,부동산중개,11
개운동,4213053000,한식/백반/한정식,61,여성미용실,58,커피전문점/카페/다방,30
명륜1동,4213054100,한식/백반/한정식,57,여성미용실,38,학원-입시,21
명륜2동,4213054200,여성미용실,49,한식/백반/한정식,49,부동산중개,30
단구동,4213055000,한식/백반/한정식,178,여성미용실,132,부동산중개,96
일산동,4213056000,한식/백반/한정식,55,여성미용실,46,일반의류,37
학성동,4213057500,한식/백반/한정식,22,수퍼마켓,17,여성미용실,15
단계동,4213059000,한식/백반/한정식,194,여성미용실,101,커피전문점/카페/다방,80
우산동,4213060000,한식/백반/한정식,72,자동차정비/카센타,45,여성미용실,36
태장1동,4213061000,자동차정비/카센타,20,한식/백반/한정식,20,여성미용실,18
태장2동,4213062000,한식/백반/한정식,76,여성미용실,51,자동차정비/카센타,27
봉산동,4213063500,한식/백반/한정식,29,여성미용실,25,수퍼마켓,14
행구동,4213065000,한식/백반/한정식,75,커피전문점/카페/다방,39,편의점,13
무실동,4213066000,한식/백반/한정식,152,커피전문점/카페/다방,106,여성미용실,95
반곡관설동,4213067500,한식/백반/한정식,220,커피전문점/카페/다방,137,여성미용실,128
주문진읍,4215025000,한식/백반/한정식,166,횟집,141,건어물상,96
성산면,4215031000,한식/백반/한정식,64,커피전문점/카페/다방,16,민박/하숙,9
왕산면,4215032000,한식/백반/한정식,13,청과물소매,13,캠프/별장/펜션,10
구정면,4215033000,한식/백반/한정식,14,커피전문점/카페/다방,14,청과물소매,10
강동면,4215034000,한식/백반/한정식,94,모텔/여관/여인숙,38,횟집,38
옥계면,4215035000,한식/백반/한정식,31,횟집,18,민박/하숙,18
사천면,4215036000,한식/백반/한정식,47,커피전문점/카페/다방,45,캠프/별장/펜션,37
연곡면,4215037000,한식/백반/한정식,66,캠프/별장/펜션,44,민박/하숙,34
홍제동,4215051000,한식/백반/한정식,68,커피전문점/카페/다방,38,여성미용실,35
중앙동,4215052000,한식/백반/한정식,211,여성미용실,130,일반의류,130
옥천동,4215054000,한식/백반/한정식,87,커피전문점/카페/다방,41,모텔/여관/여인숙,34
교1동,4215055000,한식/백반/한정식,126,여성미용실,103,부동산중개,92
교2동,4215056000,모텔/여관/여인숙,67,한식/백반/한정식,44,커피전문점/카페/다방,31
포남1동,4215057100,한식/백반/한정식,111,여성미용실,72,커피전문점/카페/다방,44
포남2동,4215057200,여성미용실,66,한식/백반/한정식,59,커피전문점/카페/다방,39
초당동,4215058000,한식/백반/한정식,58,커피전문점/카페/다방,55,횟집,29
송정동,4215059000,한식/백반/한정식,48,커피전문점/카페/다방,47,부동산중개,17
내곡동,4215060000,한식/백반/한정식,65,커피전문점/카페/다방,39,여성미용실,30
강남동,4215061500,한식/백반/한정식,62,여성미용실,41,청과물소매,29
성덕동,4215064500,한식/백반/한정식,62,여성미용실,57,자동차정비/카센타,52
경포동,4215066500,커피전문점/카페/다방,70,한식/백반/한정식,65,캠프/별장/펜션,63
천곡동,4217051000,한식/백반/한정식,175,여성미용실,103,커피전문점/카페/다방,85
송정동,4217052000,한식/백반/한정식,21,여성미용실,10,유리/페인트/철물건축자재,9
북삼동,4217053000,한식/백반/한정식,86,여성미용실,47,일반의류,34
부곡동,4217054000,한식/백반/한정식,32,여성미용실,16,수퍼마켓,12
동호동,4217055000,한식/백반/한정식,22,여성미용실,16,수퍼마켓,9
발한동,4217057000,한식/백반/한정식,51,커피전문점/카페/다방,23,여성미용실,21
묵호동,4217059000,한식/백반/한정식,61,횟집,52,커피전문점/카페/다방,34
북평동,4217060000,한식/백반/한정식,52,여성미용실,29,자동차정비/카센타,26
망상동,4217063000,커피전문점/카페/다방,21,한식/백반/한정식,18,민박/하숙,17
삼화동,4217065000,한식/백반/한정식,49,수퍼마켓,11,편의점,7
황지동,4219051500,한식/백반/한정식,51,여성미용실,30,일반의류,27
황연동,4219052500,한식/백반/한정식,36,수산물소매,12,자동차정비/카센타,12
삼수동,4219053500,한식/백반/한정식,53,모텔/여관/여인숙,24,자동차정비/카센타,18
상장동,4219054000,한식/백반/한정식,65,후라이드/양념치킨,28,여성미용실,25
문곡소도동,4219058500,한식/백반/한정식,48,수퍼마켓,12,자동차정비/카센타,9
장성동,4219059500,한식/백반/한정식,26,수퍼마켓,9,여성미용실,7
구문소동,4219060500,한식/백반/한정식,10,자동차정비/카센타,5,방앗간/정미소,4
철암동,4219061500,한식/백반/한정식,14,후라이드/양념치킨,5,세탁소/빨래방,5
영랑동,4221051000,한식/백반/한정식,55,횟집,30,커피전문점/카페/다방,25
동명동,4221052000,한식/백반/한정식,72,수산물소매,31,모텔/여관/여인숙,22
금호동,4221054000,한식/백반/한정식,93,일반의류,76,여성미용실,50
교동,4221056000,한식/백반/한정식,80,여성미용실,69,일반의류,42
노학동,4221057000,한식/백반/한정식,212,여성미용실,65,커피전문점/카페/다방,59
조양동,4221058000,한식/백반/한정식,102,여성미용실,61,자동차정비/카센타,41
청호동,4221059000,한식/백반/한정식,63,커피전문점/카페/다방,31,횟집,27
대포동,4221060000,횟집,150,한식/백반/한정식,104,수산물소매,87
도계읍,4223025000,한식/백반/한정식,46,커피전문점/카페/다방,26,수퍼마켓,15
원덕읍,4223025300,한식/백반/한정식,73,횟집,27,커피전문점/카페/다방,25
근덕면,4223031000,민박/하숙,56,캠프/별장/펜션,51,한식/백반/한정식,47
하장면,4223032000,한식/백반/한정식,17,청과물소매,6,수퍼마켓,4
노곡면,4223033000,청과물소매,3,캠프/별장/펜션,2,한식/백반/한정식,2
미로면,4223034000,한식/백반/한정식,8,수퍼마켓,4,청과물소매,4
가곡면,4223035000,한식/백반/한정식,12,청과물소매,4,캠프/별장/펜션,2
신기면,4223036000,한식/백반/한정식,13,민박/하숙,8,갈비/삼겹살,5
남양동,4223051000,한식/백반/한정식,93,여성미용실,46,커피전문점/카페/다방,29
교동,4223053000,커피전문점/카페/다방,41,한식/백반/한정식,33,호프/맥주,20
정라동,4223054000,한식/백반/한정식,41,횟집,24,수산물소매,21
성내동,4223057000,한식/백반/한정식,53,여성미용실,26,커피전문점/카페/다방,24
홍천읍,4272025000,한식/백반/한정식,226,여성미용실,144,커피전문점/카페/다방,94
화촌면,4272031000,한식/백반/한정식,31,청과물소매,26,캠프/별장/펜션,23
두촌면,4272032000,한식/백반/한정식,18,청과물소매,17,국수/만두/칼국수,6
내촌면,4272033000,한식/백반/한정식,16,캠프/별장/펜션,14,청과물소매,8
서석면,4272034000,한식/백반/한정식,36,청과물소매,15,캠프/별장/펜션,12
영귀미면,4272035200,한식/백반/한정식,29,캠프/별장/펜션,15,청과물소매,14
남면,4272036000,한식/백반/한정식,38,청과물소매,12,갈비/삼겹살,11
서면,4272037000,한식/백반/한정식,115,캠프/별장/펜션,71,운동/경기용품,48
북방면,4272038000,캠프/별장/펜션,24,한식/백반/한정식,20,청과물소매,19
내면,4272039000,한식/백반/한정식,46,청과물소매,28,캠프/별장/펜션,14
횡성읍,4273025000,한식/백반/한정식,172,여성미용실,57,커피전문점/카페/다방,53
우천면,4273031000,한식/백반/한정식,32,부동산중개,19,청과물소매,15
안흥면,4273032000,한식/백반/한정식,25,고속도로휴게소,16,커피전문점/카페/다방,14
